_id,courseId,descriptionSize,keyWord,learnerCount,lessonCount,price,productName,score,source
5c9f92f213ba61f2f0673cb0,1006518001,210,大数据,50.0,18.0,0.0,大数据工程师（免费试看课程）,4.4,study.163.com
5c9f92f213ba61f2f0673cb2,1208875838,207,大数据,211.0,32.0,0.0,大数据Java全集从入门到精通视频,4.8,study.163.com
5c9f92f213ba61f2f0673cb4,1208876842,207,大数据,144.0,8.0,0.0,大数据之Flume精讲视频,4.8,study.163.com
5c9f92f213ba61f2f0673cb6,1208880821,207,大数据,685.0,94.0,0.0,大数据spark精选全集视频教程,4.8,study.163.com
5c9f92f213ba61f2f0673cb8,1208884827,207,大数据,15.0,8.0,99.0,大数据精讲之Python爬虫视频,4.4,study.163.com
5c9f92f213ba61f2f0673cba,1208885811,207,数据分析,77.0,9.0,0.0,大数据分析八爪鱼精讲视频,4.7,study.163.com
5c9f92f213ba61f2f0673cbc,1208885817,207,大数据,74.0,12.0,0.0,大数据开发Java基础增强视频,4.6,study.163.com
5c9f92f213ba61f2f0673cbe,1208885828,207,大数据,34.0,14.0,0.0,大数据Spring详解视频课程,4.6,study.163.com
5c9f92f213ba61f2f0673cc0,1208887815,207,数据分析,386.0,27.0,0.0,大数据分析Tableau入门进阶视频,4.7,study.163.com
5c9f92f213ba61f2f0673cc2,1208887817,207,数据分析,141.0,12.0,0.0,大数据分析Tableau进阶增强视频,4.7,study.163.com
5c9f92f213ba61f2f0673cc4,1208887822,207,大数据,413.0,28.0,0.0,大数据Hive入门到精通课程视频,4.7,study.163.com
5c9f92f213ba61f2f0673cc6,1208887824,207,大数据,30.0,12.0,0.0,大数据基础Servlet精讲视频,4.6,study.163.com
5c9f92f213ba61f2f0673cc8,1208888825,207,大数据,584.0,47.0,0.0,大数据开发Hadoop全集视频教程,4.7,study.163.com
5c9f92f213ba61f2f0673cca,1208889828,207,大数据,214.0,15.0,0.0,大数据Hbase全集免费视频教程,4.7,study.163.com
5c9f92f213ba61f2f0673ccc,1208892819,207,数据分析,58.0,14.0,0.0,大数据分析oracle进阶视频（二）,4.7,study.163.com
5c9f92f213ba61f2f0673cce,1208893807,207,数据分析,124.0,13.0,0.0,大数据分析Oracle入门基础视频,4.7,study.163.com
5c9f92f213ba61f2f0673cd0,1208902813,207,数据分析,25.0,7.0,0.0,大数据分析springmvc精讲视频,4.5,study.163.com
5c9f92f213ba61f2f0673cd2,1005895014,193,大数据,4.0,4.0,19.0,大数据之Kafka,4.4,study.163.com
5c9f92f213ba61f2f0673cd7,1006000017,363,大数据,12.0,14.0,29.99,大数据交互式查询引擎-Impala,4.1,study.163.com
5c9f92f213ba61f2f0673cd9,1006145013,469,大数据,154.0,14.0,0.0,跟猎豹大数据架构师学hadoop,4.5,study.163.com
5c9f92f213ba61f2f0673cdb,1006190037,355,大数据,1.0,22.0,199.0,大数据Hive基础入门到高级精通,4.4,study.163.com
5c9f92f213ba61f2f0673cdd,1006226006,162,大数据,20.0,144.0,266.0,大数据Hadoop生态圈体系深入浅出,4.4,study.163.com
5c9f92f213ba61f2f0673cdf,1006247007,361,大数据,1.0,37.0,88.0,2018年大数据架构师之SSM教程,4.4,study.163.com
5c9f92f213ba61f2f0673ce1,1006287003,489,大数据,1.0,36.0,17.0,Java大数据培训学校教材---继承,4.4,study.163.com
5c9f92f213ba61f2f0673ce3,1006291019,97,大数据,2.0,9.0,1.0,大数据系列（1）：Linux基础,4.4,study.163.com
5c9f92f213ba61f2f0673ce5,1006291020,97,大数据,1.0,6.0,99.0,大数据系列（3）：搭建Hadoop,4.4,study.163.com
5c9f92f213ba61f2f0673ce7,1006291022,97,大数据,1.0,16.0,159.0,大数据系列（20）：Spark RDD,4.4,study.163.com
5c9f92f213ba61f2f0673ce9,1006292012,97,大数据,1.0,9.0,69.0,大数据系列（4）：Hadoop的架构,4.4,study.163.com
5c9f92f213ba61f2f0673ceb,1006292014,97,大数据,1.0,11.0,59.0,大数据系列（16）：Scala基础,4.4,study.163.com
5c9f92f213ba61f2f0673ced,1006293017,97,大数据,1.0,8.0,59.0,大数据系列（2）：背景知识,4.4,study.163.com
