_id,courseId,descriptionSize,keyWord,learnerCount,productDifficultyLevel,productName,score,source,time
5c9fb4f913ba61f2f0675212,course~1IxAHTxmEeWdUgozVKt3nw,687,ai,4695.0,Beginner,Children Acquiring Literacy Naturally,4.296296296296297,coursera.org,11.0
5c9fb4fd13ba61f2f0675215,course~0vz09Dj7EeinMgq8SYQgGA,422,ai,208.0,Beginner,Teaching Impacts of Technology: Workplace of the Future,,coursera.org,12.0
5c9fb50113ba61f2f0675218,course~guqOkAKDEeaG2A4kH1tj-w,684,ai,56946.0,Advanced,Probabilistic Graphical Models 1: Representation,4.674442190669371,coursera.org,30.0
5c9fb50513ba61f2f067521a,course~ttER2pXJEeiQzApPTDulpA,350,ai,265.0,Intermediate,Intro to TensorFlow en Español,5.0,coursera.org,11.0
5c9fb50813ba61f2f067521d,course~A3ASpYtuEeiaTA5iU-pJGg,74,big data,418.0,Intermediate,Project Planning and Machine Learning,4.0,coursera.org,12.0
5c9fb50c13ba61f2f0675224,course~BZ5quSvBEee6gA5XksfBbg,275,ai,166690.0,Beginner,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",4.879542960428636,coursera.org,15.0
5c9fb51013ba61f2f0675227,s12n~zFLn26JiEeiiNRK4Ue9X2g,1316,big data,331.0,Intermediate,Machine Learning with TensorFlow on Google Cloud Platform em Português Brasileiro,4.672131147540983,coursera.org,
5c9fb51413ba61f2f067522a,course~_QKuGG_yEei1thLYptGxsg,511,ai,65.0,Intermediate,Launching into Machine Learning 日本語版,4.375,coursera.org,7.0
5c9fb51813ba61f2f067522c,course~V4QRgobREei8Cw6fDgqybg,115,big data,7464.0,Advanced,End-to-End Machine Learning with TensorFlow on GCP,4.526490066225166,coursera.org,9.0
5c9fb51d13ba61f2f067522f,course~ARf5_jvZEeeYEBLbuVGJ2g,472,ai,61433.0,Beginner,Mathematics for Machine Learning: Linear Algebra,4.646986970684039,coursera.org,21.0
5c9fb52013ba61f2f0675234,s12n~xKZ-Rh0LEeaVXQ4hxYGBZw,500,ai,305908.0,Intermediate,Applied Data Science with Python,4.528627015008338,coursera.org,
5c9fb52413ba61f2f0675237,course~QbneQTREEeelyAr7KaZzrA,99,ai,697.0,Beginner,"Revolutionary Ideas: Utility, Justice, Equality, Freedom",5.0,coursera.org,15.0
5c9fb52813ba61f2f067523a,s12n~_9m_5qflEei_Two3ZowVVA,839,ai,2324.0,Intermediate,Introducción a la inteligencia artificial,4.693877551020408,coursera.org,
5c9fb52c13ba61f2f067523c,course~BwuL5JwaEeigWgp_hi6FmA,115,ai,1722.0,Advanced,Production Machine Learning Systems,4.480263157894737,coursera.org,8.0
5c9fb52f13ba61f2f067523f,course~X_CuLfb0EeWfYgqbi1xsdw,365,ai,5952.0,Beginner,Genomic Data Science and Clustering (Bioinformatics V),4.212765957446808,coursera.org,9.0
5c9fb53213ba61f2f0675242,course~TAtGgqZNEeiECQr9tzDo4g,367,ai,46.0,Intermediate,Serverless Data Analysis with Google BigQuery and Cloud Dataflow auf Deutsch,,coursera.org,4.0
5c9fb53713ba61f2f0675245,course~0MxqCTygEea1gAouz62QPw,391,ai,16889.0,Intermediate,Introduction to Recommender Systems:  Non-Personalized and Content-Based,4.513157894736842,coursera.org,16.0
5c9fb53b13ba61f2f0675248,course~bkBQ-oNfEeenGxKEO5UIKA,343,ai,17749.0,Advanced,Deep Learning in Computer Vision,3.935483870967742,coursera.org,27.0
